model	branch_length	rate_mass	mean_rate	probability_mass_null	probability_mass_alternative	refined_shift	likelihood_identity_max_error	refined_exact_null_mean	legacy_exact_null_mean
+I+R4	30.0	1.0	0.9999999999820001	1.0	0.9999999999999999	-2.5430468782312934	4.7182095842888527e-14	6.938893903907228e-17	0.039907818355809296
+I+R4	35.0	1.0	0.9999999999820001	1.0	1.0	-2.966888024603176	5.478858808153665e-14	-2.0816681711721685e-17	0.03815806097053204
+I+R4	40.0	1.0	0.9999999999820001	1.0	1.0	-3.3907291709750584	6.23633428426841e-14	6.938893903907228e-18	0.037107798910677656
+I+R4	45.0	1.0	0.9999999999820001	1.0	1.0	-3.81457031734694	7.067226595196307e-14	2.0816681711721685e-17	0.03647067692796391
+I+R4	50.0	1.0	0.9999999999820001	1.0	1.0	-4.238411463718823	7.814755405763092e-14	1.3877787807814457e-17	0.036080300008428434
+I+R4	60.0	1.0	0.9999999999820001	1.0	1.0	-5.086093756462587	9.35023454028247e-14	6.938893903907228e-18	0.03568835395384628
+I+R4	75.0	1.0	0.9999999999820001	1.0	1.0	-6.357617195578234	1.1674275076115857e-13	2.42861286636753e-17	0.03549593131792898
+I+R4	100.0	1.0	0.9999999999820001	1.0	1.0	-8.476822927437645	1.5549213567859534e-13	1.3877787807814457e-17	0.03543528719405914
+I+R4	150.0	1.0	0.9999999999820001	1.0	1.0	-12.715234391156468	2.3328079014796957e-13	-1.3877787807814457e-17	0.03542758921781475
+I+R4	200.0	1.0	0.9999999999820001	1.0	1.0000000000000002	-16.95364585487529	3.108835163933224e-13	2.42861286636753e-17	0.0354274809229049
+I+R4	500.0	1.0	0.9999999999820001	1.0	1.0000000000000002	-42.384114637188226	7.759348719105219e-13	0.0	0.03542747934219112
+I+R4	1000.0	1.0	0.9999999999820001	1.0	0.9999999999999998	-84.76822927437645	1.5513146323087312e-12	1.0408340855860843e-17	0.03542747934219112
+I+R4	10000.0	1.0	0.9999999999820001	1.0	1.0	-847.6822927437645	1.550681805184695e-11	1.0408340855860843e-17	0.03542747934219112
