model	branch_length	nsites	sample	rule	replicates	refined_fraction	legacy_fraction	refined_minus_legacy	paired_bootstrap_ci_low	paired_bootstrap_ci_high	refined_only	legacy_only	agreement	mean_delta_z	mean_delta_z_ci_low	mean_delta_z_ci_high	median_delta_z	delta_z_q10	delta_z_q90	mean_delta_decision_margin	mean_delta_decision_margin_ci_low	mean_delta_decision_margin_ci_high	median_delta_decision_margin
+I+G4	2.0	100	null_heldout	nominal	10000	0.0442	0.5058	-0.4616	-0.4715	-0.4518975	0	4616	0.5384	-1.6956140644984585	-1.6977232577813144	-1.6935048712156027	-1.6897194357932908	-1.8350964451273684	-1.5638641633159502	-1.695614064498458	-1.697723257781314	-1.6935048712156022	-1.6897194357932908
+I+G4	2.0	100	alternative	nominal	20000	0.99985	1.0	-0.00014999999999998348	-0.00035	0.0	0	3	0.99985	-1.315159284813793	-1.3166313626845163	-1.3136872069430696	-1.3232425631442029	-1.4437146042484015	-1.175796684627852	-1.3151592848137934	-1.3166313626845167	-1.31368720694307	-1.323242563144203
+I+G4	2.0	100	null_heldout	calibrated	10000	0.048	0.0475	0.0005000000000000004	-0.0009	0.0019	28	23	0.9949	-1.6956140644984585	-1.6977232577813144	-1.6935048712156027	-1.6897194357932908	-1.8350964451273684	-1.5638641633159502	-0.11976613186073584	-0.12187532514359165	-0.11765693857788004	-0.11387150315556815
+I+G4	2.0	100	alternative	calibrated	20000	0.99985	0.99985	0.0	0.0	0.0	0	0	1.0	-1.315159284813793	-1.3166313626845163	-1.3136872069430696	-1.3232425631442029	-1.4437146042484015	-1.175796684627852	0.2606886478239295	0.2592165699532062	0.26216072569465276	0.25260536949351975
+I+G4	2.0	500	null_heldout	nominal	10000	0.0459	0.9866	-0.9407	-0.9454	-0.9359	0	9407	0.0593	-3.796020174509475	-3.798092212542601	-3.7939481364763488	-3.7928416374116125	-3.9316184243668157	-3.6632276013572165	-3.796020174509473	-3.798092212542599	-3.793948136476347	-3.7928416374116125
+I+G4	2.0	500	alternative	nominal	20000	1.0	1.0	0.0	0.0	0.0	0	0	1.0	-2.9549977208922122	-2.9564116759588135	-2.953583765825611	-2.957660280035171	-3.0828531719292296	-2.823073652260714	-2.9549977208922114	-2.9564116759588126	-2.95358376582561	-2.95766028003517
+I+G4	2.0	500	null_heldout	calibrated	10000	0.0476	0.0478	-0.0001999999999999988	-0.0014	0.0011	20	22	0.9958	-3.796020174509475	-3.798092212542601	-3.7939481364763488	-3.7928416374116125	-3.9316184243668157	-3.6632276013572165	-0.12802898873142213	-0.1301010267645481	-0.12595695069829616	-0.12485045163356112
+I+G4	2.0	500	alternative	calibrated	20000	1.0	1.0	0.0	0.0	0.0	0	0	1.0	-2.9549977208922122	-2.9564116759588135	-2.953583765825611	-2.957660280035171	-3.0828531719292296	-2.823073652260714	0.7129934648858389	0.7115795098192377	0.7144074199524402	0.7103309057428806
+I+G4	2.0	1000	null_heldout	nominal	10000	0.0465	1.0	-0.9535	-0.9576	-0.9494	0	9535	0.0465	-5.365740603225504	-5.367783239749179	-5.363697966701829	-5.363626453975814	-5.502550061257112	-5.230758991966495	-5.365740603225503	-5.367783239749178	-5.363697966701828	-5.363626453975814
+I+G4	2.0	1000	alternative	nominal	20000	1.0	1.0	0.0	0.0	0.0	0	0	1.0	-4.183083492435885	-4.184515673879245	-4.181651310992525	-4.185900362211218	-4.3124941504131105	-4.049879851088482	-4.183083492435885	-4.184515673879245	-4.181651310992525	-4.185900362211217
+I+G4	2.0	1000	null_heldout	calibrated	10000	0.0496	0.05	-0.0004000000000000045	-0.0018	0.0011	25	29	0.9946	-5.365740603225504	-5.367783239749179	-5.363697966701829	-5.363626453975814	-5.502550061257112	-5.230758991966495	-0.12759001238853532	-0.12963264891221046	-0.12554737586486017	-0.1254758631388464
+I+G4	2.0	1000	alternative	calibrated	20000	1.0	1.0	0.0	0.0	0.0	0	0	1.0	-4.183083492435885	-4.184515673879245	-4.181651310992525	-4.185900362211218	-4.3124941504131105	-4.049879851088482	1.0550670984010817	1.0536349169577215	1.056499279844442	1.0522502286257494
+I+G4	2.0	5000	null_heldout	nominal	10000	0.0455	1.0	-0.9545	-0.9585	-0.9503	0	9545	0.0455	-12.003131925923281	-12.005166269166626	-12.001097582679936	-12.00190054242217	-12.138095677705575	-11.872009892283488	-12.003131925923283	-12.005166269166628	-12.001097582679938	-12.00190054242217
